versionOrder,versionPageStart,versionPageEnd,date,pageCount,title,documentType,sourceClass,lane,matches,sourceUrl,pdfUrl,sourceNote
73,378,380,1996-09,3,President Clinton to President Yeltsin on NATO and Russia,Presidential letter draft,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 222-224. Confidential."
74,381,383,1996-09-17,3,Baltic States: Baltic Action Plan and NATO Enlargement,NSC information memorandum,clinton-library-mdr,candidate-state cases,nato-expansion; membership-accession,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 231-233. Confidential."
75,384,385,1996-09-27,2,Possible Foreign Policy Events for POTUS in October,NSC planning memorandum,clinton-library-mdr,whether/whom/when,nato-expansion; invitation-round,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 241-242. Confidential."
76,386,395,1996-10-01,10,"Copenhagen Seminar: Secretary Perry, UK and German Defense Ministers Say ""Not Yet"" to Baltic NATO Membership; Russians Don't Show",Cable,clinton-library-mdr,whether/whom/when,membership-accession,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 167-176. Unclassified; sensitive."
77,396,398,1996-10-04,3,Your Meeting with the Troika on NATO Enlargement Issues,NSC information memorandum,clinton-library-mdr,candidate-state cases,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 238-240. Secret."
78,399,402,1996-10-29,4,ACTING SECRETARY AND LITHUANIAN FONMIN ON NATO ENLARGEMENT,TE,state-foia,candidate-state cases,nato-expansion,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,https://foia.state.gov/DOCUMENTS/FOIA_Aug2019_2020/F-2017-13804/DOC_0C06698709/C06698709.pdf,"Source: Department of State, FOIA Virtual Reading Room, Case F-2017-13804, Doc No. C06698709. RELEASE IN FULL."
79,403,406,1996-10-29,4,Ambassador's Farewell Call on Presidential Foreign Policy Advisor Ryurikov,Cable,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 182-185. Confidential."
80,407,427,1996-11-01,21,Lake Meeting with President Jacques Chirac of France,Memorandum of conversation,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/57563,https://clinton.presidentiallibraries.us/files/original/369537c192017e6b05f68d908f1a75e8.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0755-M, Clinton Digital Library PDF pages 178-198. Secret."
81,428,430,1996-11-06,3,"NATO Enlargement, NATO-Russia and START",NSC information memorandum,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101137,https://clinton.presidentiallibraries.us/files/original/daba4e1e86126f7392f28f4619aa711a.pdf,"Source: Clinton Presidential Records, NSC Cable, Email, and Records Management System, Mandatory Declassification Review 2015-0772-M, Clinton Digital Library PDF pages 258-260. Secret."
82,431,437,1996-12-04,7,The Secretary's Breakfast Meeting with NATO Secretary General Solana,Cable,clinton-library-mdr,constraints/diplomacy,nato-expansion,https://clinton.presidentiallibraries.us/items/show/101829,https://clinton.presidentiallibraries.us/files/original/1fbacf781cad23434c0c3e3f52367c90.pdf,"Source: Clinton Presidential Records, NSC Cables, Mandatory Declassification Review 2015-0792-M, Clinton Digital Library PDF pages 197-203. Confidential; Exdis."
